Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
092023-BEL-CBC-T2-184-MCAV_S37_R2_16S	092023-BEL-CBC-T2-184-MCAV_S37_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	11712326.0	2.7 Gbp	0.0	201-251	55.0	1.9168291363022412	231.4494124395103	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T3-171-OFAV_S78_R2_16S	092023-BEL-CBC-T3-171-OFAV_S78_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2054558.0	473 Mbp	0.0	209-251	52.0	2.554418030544769	230.25153877378978	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
092023-BEL-CBC-T3-173-OFAV_S84_R2_16S	092023-BEL-CBC-T3-173-OFAV_S84_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2110800.0	481.9 Mbp	0.0	198-251	46.0	2.75360053060451	228.81421735834755	228	pass	warn	warn	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T3-178-PAST_S74_R2_16S	092023-BEL-CBC-T3-178-PAST_S74_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	791269.0	182.3 Mbp	0.0	204-251	51.0	1.7373358491233701	230.49800889457316	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T3-195-PSTR_S66_R2_16S	092023-BEL-CBC-T3-195-PSTR_S66_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	55332.0	12.9 Mbp	0.0	228-251	51.0	4.003108508638762	233.2831815224463	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T4-92-PSTR_S43_R2_16S	092023-BEL-CBC-T4-92-PSTR_S43_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	111049.0	25.7 Mbp	0.0	214-251	45.0	4.740249799637997	231.66114057758287	229	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
092023-BEL-CBC-T4-94-MCAV_S85_R2_16S	092023-BEL-CBC-T4-94-MCAV_S85_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	719172.0	164.3 Mbp	0.0	203-251	48.0	3.437703358862692	228.5790381160557	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
102019-BEL-CBC-T1-29-PSTR_S22_R2_16S	102019-BEL-CBC-T1-29-PSTR_S22_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	524934.0	119.8 Mbp	0.0	213-251	56.0	1.9004293873134528	228.34747415865613	228	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
112023-BEL-CBC-T1-276-MCAV_S26_R2_16S	112023-BEL-CBC-T1-276-MCAV_S26_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	168707.0	39.1 Mbp	0.0	207-251	41.0	2.168256207507691	231.97493879921996	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
112023-BEL-CBC-T2-304-OFAV_S72_R2_16S	112023-BEL-CBC-T2-304-OFAV_S72_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	819720.0	188.9 Mbp	0.0	212-251	49.0	2.113892548675157	230.52138901088176	230	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
112023-BEL-CBC-T2-307-SSID_S62_R2_16S	112023-BEL-CBC-T2-307-SSID_S62_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	850582.0	197.2 Mbp	0.0	210-251	52.0	2.324761163532734	231.89512592554274	231	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
112023-BEL-CBC-T2-310-MCAV_S55_R2_16S	112023-BEL-CBC-T2-310-MCAV_S55_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	467113.0	108.4 Mbp	0.0	212-251	46.0	2.699989081870982	232.07558984656816	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
112023-BEL-CBC-T3-352-PAST_S30_R2_16S	112023-BEL-CBC-T3-352-PAST_S30_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	893489.0	206.3 Mbp	0.0	202-251	46.0	3.67380012512745	231.42025307530366	230	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
112023-BEL-CBC-T3-355-PSTR_S10_R2_16S	112023-BEL-CBC-T3-355-PSTR_S10_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101040.0	23.6 Mbp	0.0	218-251	52.0	3.311559778305621	233.72490102929532	231	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
112023-BEL-CBC-T4-399-MCAV_S9_R2_16S	112023-BEL-CBC-T4-399-MCAV_S9_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	266459.0	61.9 Mbp	0.0	214-251	42.0	3.1700937104770337	232.53813156996011	231	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	fail
112023-BEL-CBC-T4-401-MCAV_S53_R2_16S	112023-BEL-CBC-T4-401-MCAV_S53_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	268111.0	62.3 Mbp	0.0	205-251	41.0	2.03535102998385	232.4998153749753	231	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	fail
122022-BEL-CBC-T3-123-PAST_S20_R2_16S	122022-BEL-CBC-T3-123-PAST_S20_R2_16S.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	169015.0	38.9 Mbp	0.0	212-251	47.0	7.758482974883886	230.73493476910335	228	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	fail
